
==================================================
==== Processing Statistics ====
Video Load 132: 0.07s
Video Load 133: 0.12s
Video Load 134: 0.27s
Video Load 135: 0.08s
Video Load 136: 0.06s
Video Load 137: 0.07s
Video Load 138: 0.19s
Video Load 139: 0.04s
Video Load 140: 0.41s
Video Load 141: 0.06s
Video Load 142: 0.20s
Video Load 143: 0.31s
Video Load 144: 0.07s
Video Load 145: 0.04s
Video Load 146: 0.16s
Video Load 147: 0.06s
Video Load 148: 0.21s
Video Load 149: 0.03s
Video Load 150: 0.17s
Video Load 151: 0.07s
Video Load 152: 0.12s
Video Load 153: 0.10s
Video Load 154: 0.31s
Video Load 155: 0.19s
Video Load 156: 0.04s
Video Load 157: 0.20s
Video Load 158: 0.03s
Video Load 159: 0.11s
Video Load 160: 0.13s
Video Load 161: 0.03s
Video Load 162: 0.15s
Video Load 163: 0.06s
Video Load 164: 0.05s
Video Load 165: 0.04s
Video Load 166: 0.13s
Video Load 167: 0.08s
Video Load 168: 0.22s
Video Load 169: 0.32s
Video Load 170: 0.16s
Video Load 171: 0.18s
Video Load 172: 0.21s
Video Load 173: 0.05s
Video Load 174: 0.26s
Video Load 175: 0.07s
Video Load 176: 0.05s
Video Load 177: 0.14s
Video Load 178: 0.19s
Video Load 179: 0.09s
Video Load 180: 0.17s
Video Load 181: 0.26s
Video Load 182: 0.06s
Video Load 183: 0.06s
Video Load 184: 0.19s
Video Load 185: 0.25s
Video Load 186: 0.15s
Video Load 187: 0.34s
Video Load 188: 0.06s
Video Load 189: 0.20s
Video Load 190: 0.13s
Video Load 191: 0.04s
Video Load 192: 0.45s
Video Load 193: 0.09s
Video Load 194: 0.07s
Video Load 195: 0.07s
Video Load 196: 0.13s
Video Load 197: 0.17s
Video Load 198: 0.07s
Video Load 199: 0.22s
Video Load 200: 0.06s
Video Load 201: 0.20s
Video Load 202: 0.28s
Video Load 203: 0.09s
Video Load 204: 0.45s
Video Load 205: 0.09s
Video Load 206: 0.17s
Video Load 207: 0.14s
Video Load 208: 0.04s
Video Load 209: 0.11s
Video Load 210: 0.14s
Video Load 211: 0.17s
Video Load 212: 0.14s
Video Load 213: 0.20s
Video Load 214: 0.08s
Video Load 215: 0.09s
Video Load 216: 0.19s
Video Load 217: 0.08s
Video Load 218: 0.03s
Video Load 219: 0.07s
Video Load 220: 0.35s
Video Load 221: 0.06s
Video Load 222: 0.19s
Video Load 223: 0.07s
Video Load 224: 0.21s
Video Load 225: 0.27s
Video Load 226: 0.08s
Video Load 227: 0.13s
Video Load 228: 0.08s
Video Load 229: 0.04s
Video Load 230: 0.04s
Video Load 231: 0.05s
Video Load 232: 0.06s
Video Load 233: 0.10s
Video Load 234: 0.06s
Video Load 235: 0.04s
Video Load 236: 0.08s
Video Load 237: 0.07s
Video Load 238: 0.49s
Video Load 239: 0.62s
Video Load 240: 0.07s
Video Load 241: 0.18s
Video Load 242: 0.04s
Video Load 243: 0.33s
Video Load 244: 0.09s
Video Load 245: 0.07s
Video Load 246: 0.07s
Video Load 247: 0.41s
Video Load 248: 0.08s
Video Load 249: 0.18s
Video Load 250: 0.06s
Video Load 251: 0.08s
Video Load 252: 0.07s
Video Load 253: 0.07s
Video Load 254: 0.16s
Video Load 255: 0.13s
Video Load 256: 0.10s
Video Load 257: 0.07s
Video Load 258: 0.23s
Video Load 259: 0.05s
Video Load 260: 0.10s
Video Load 261: 0.04s
Video Load 262: 0.04s
Video Load 263: 0.08s
Video Load 264: 0.04s
Video Load 265: 0.03s
Video Load 266: 0.16s
Video Load 267: 0.07s
Video Load 268: 0.23s
Video Load 269: 0.29s
Video Load 270: 0.27s
Video Load 271: 0.22s
Video Load 272: 0.05s
Video Load 273: 0.08s
Video Load 274: 0.19s
Video Load 275: 0.12s
Video Load 276: 0.04s
Video Load 277: 0.14s
Average video load time: 0.13s
Min video load time: 0.03s
Max video load time: 0.62s
Std video load time: 0.09s

--- Inference Times ---
Inference 1: 14.06s
Inference 2: 5.65s
Inference 3: 7.00s
Inference 4: 4.19s
Inference 5: 6.67s
Inference 6: 6.03s
Inference 7: 5.75s
Inference 8: 7.78s
Inference 9: 7.82s
Inference 10: 5.40s
Inference 11: 8.93s
Inference 12: 5.82s
Inference 13: 5.60s
Inference 14: 4.36s
Inference 15: 5.19s
Inference 16: 10.67s
Inference 17: 5.60s
Inference 18: 5.45s
Inference 19: 8.97s
Inference 20: 9.54s
Inference 21: 7.94s
Inference 22: 4.17s
Inference 23: 6.29s
Inference 24: 5.67s
Inference 25: 6.79s
Inference 26: 5.61s
Inference 27: 9.40s
Inference 28: 11.10s
Inference 29: 9.19s
Inference 30: 7.09s
Inference 31: 7.49s
Inference 32: 9.10s
Inference 33: 8.92s
Inference 34: 8.47s
Inference 35: 7.54s
Inference 36: 4.86s
Inference 37: 9.62s
Inference 38: 6.71s
Inference 39: 8.43s
Inference 40: 4.17s
Inference 41: 60.30s
Inference 42: 7.29s
Inference 43: 4.77s
Inference 44: 6.53s
Inference 45: 4.93s
Inference 46: 6.82s
Inference 47: 7.46s
Inference 48: 5.60s
Inference 49: 6.27s
Inference 50: 6.12s
Inference 51: 8.55s
Inference 52: 7.72s
Inference 53: 4.85s
Inference 54: 8.86s
Inference 55: 5.07s
Inference 56: 7.60s
Inference 57: 4.63s
Inference 58: 9.97s
Inference 59: 5.86s
Inference 60: 8.33s
Inference 61: 9.32s
Inference 62: 5.30s
Inference 63: 6.60s
Inference 64: 5.84s
Inference 65: 8.63s
Inference 66: 4.44s
Inference 67: 5.76s
Inference 68: 5.83s
Inference 69: 6.24s
Inference 70: 9.35s
Inference 71: 5.77s
Inference 72: 4.71s
Inference 73: 9.10s
Inference 74: 3.55s
Inference 75: 8.28s
Inference 76: 5.74s
Inference 77: 5.70s
Inference 78: 4.07s
Inference 79: 5.86s
Inference 80: 8.70s
Inference 81: 9.98s
Inference 82: 5.27s
Inference 83: 7.42s
Inference 84: 3.91s
Inference 85: 4.00s
Inference 86: 4.16s
Inference 87: 8.84s
Inference 88: 7.02s
Inference 89: 5.15s
Inference 90: 8.71s
Inference 91: 7.45s
Inference 92: 5.21s
Inference 93: 4.83s
Inference 94: 6.08s
Inference 95: 8.82s
Inference 96: 6.07s
Inference 97: 9.51s
Inference 98: 5.94s
Inference 99: 4.75s
Inference 100: 4.80s
Inference 101: 9.88s
Inference 102: 11.94s
Inference 103: 7.20s
Inference 104: 7.28s
Inference 105: 7.74s
Inference 106: 9.52s
Inference 107: 5.30s
Inference 108: 4.49s
Inference 109: 7.75s
Inference 110: 5.79s
Inference 111: 6.23s
Inference 112: 5.26s
Inference 113: 8.73s
Inference 114: 4.55s
Inference 115: 8.19s
Inference 116: 7.55s
Inference 117: 4.70s
Inference 118: 5.67s
Inference 119: 7.44s
Inference 120: 6.21s
Inference 121: 5.16s
Inference 122: 6.40s
Inference 123: 11.95s
Inference 124: 7.72s
Inference 125: 4.97s
Inference 126: 4.70s
Inference 127: 5.77s
Inference 128: 4.40s
Inference 129: 5.41s
Inference 130: 6.02s
Inference 131: 5.76s
Inference 132: 5.82s
Inference 133: 4.59s
Inference 134: 9.62s
Inference 135: 5.32s
Inference 136: 7.63s
Inference 137: 6.43s
Inference 138: 7.80s
Inference 139: 2.98s
Inference 140: 7.79s
Inference 141: 6.14s
Inference 142: 8.52s
Inference 143: 9.56s
Inference 144: 5.11s
Inference 145: 5.69s
Inference 146: 6.67s
Inference 147: 4.93s
Inference 148: 7.74s
Inference 149: 4.73s
Inference 150: 7.00s
Inference 151: 4.01s
Inference 152: 5.55s
Inference 153: 5.89s
Inference 154: 8.72s
Inference 155: 8.33s
Inference 156: 4.28s
Inference 157: 9.30s
Inference 158: 4.42s
Inference 159: 3.82s
Inference 160: 6.53s
Inference 161: 8.32s
Inference 162: 5.91s
Inference 163: 6.82s
Inference 164: 5.32s
Inference 165: 4.76s
Inference 166: 5.41s
Inference 167: 3.92s
Inference 168: 8.25s
Inference 169: 9.18s
Inference 170: 10.53s
Inference 171: 8.46s
Inference 172: 7.38s
Inference 173: 7.50s
Inference 174: 11.66s
Inference 175: 5.51s
Inference 176: 7.82s
Inference 177: 5.73s
Inference 178: 7.52s
Inference 179: 6.37s
Inference 180: 7.38s
Inference 181: 10.54s
Inference 182: 6.43s
Inference 183: 7.74s
Inference 184: 8.65s
Inference 185: 9.31s
Inference 186: 7.12s
Inference 187: 11.08s
Inference 188: 5.61s
Inference 189: 7.66s
Inference 190: 9.16s
Inference 191: 3.44s
Inference 192: 8.00s
Inference 193: 5.34s
Inference 194: 3.99s
Inference 195: 5.61s
Inference 196: 4.31s
Inference 197: 4.54s
Inference 198: 4.39s
Inference 199: 9.01s
Inference 200: 4.65s
Inference 201: 8.81s
Inference 202: 7.14s
Inference 203: 5.12s
Inference 204: 10.96s
Inference 205: 5.70s
Inference 206: 7.52s
Inference 207: 8.27s
Inference 208: 5.00s
Inference 209: 4.66s
Inference 210: 4.27s
Inference 211: 7.06s
Inference 212: 7.43s
Inference 213: 10.97s
Inference 214: 4.02s
Inference 215: 6.25s
Inference 216: 8.55s
Inference 217: 7.97s
Inference 218: 6.85s
Inference 219: 6.05s
Inference 220: 7.71s
Inference 221: 3.90s
Inference 222: 6.64s
Inference 223: 3.84s
Inference 224: 7.26s
Inference 225: 5.63s
Inference 226: 5.46s
Inference 227: 7.31s
Inference 228: 5.57s
Inference 229: 4.43s
Inference 230: 5.10s
Inference 231: 3.72s
Inference 232: 6.34s
Inference 233: 4.77s
Inference 234: 6.19s
Inference 235: 7.77s
Inference 236: 4.69s
Inference 237: 3.92s
Inference 238: 11.12s
Inference 239: 8.17s
Inference 240: 4.51s
Inference 241: 6.17s
Inference 242: 5.14s
Inference 243: 5.60s
Inference 244: 4.74s
Inference 245: 4.41s
Inference 246: 8.53s
Inference 247: 6.61s
Inference 248: 7.86s
Inference 249: 8.32s
Inference 250: 5.15s
Inference 251: 3.97s
Inference 252: 4.36s
Inference 253: 3.08s
Inference 254: 8.72s
Inference 255: 6.86s
Inference 256: 5.10s
Inference 257: 6.28s
Inference 258: 4.19s
Inference 259: 4.60s
Inference 260: 4.86s
Inference 261: 3.20s
Inference 262: 3.44s
Inference 263: 5.75s
Inference 264: 6.05s
Inference 265: 5.04s
Inference 266: 7.89s
Inference 267: 7.02s
Inference 268: 8.76s
Inference 269: 8.01s
Inference 270: 8.32s
Inference 271: 9.09s
Inference 272: 5.01s
Inference 273: 8.42s
Inference 274: 8.03s
Inference 275: 6.02s
Inference 276: 4.91s
Inference 277: 7.46s
Average inference time: 6.83s
Min inference time: 2.98s
Max inference time: 60.30s
Std inference time: 3.76s
Average video load time: 0.13s
Average inference time: 6.83s

Total processing time: 2616.58s
